time,msl_hPa,u10,v10,wind_speed,eta_IB,eta_wind,eta_inst,eta_met,eta_IB_cm,eta_wind_cm,eta_inst_cm,eta_met_cm,astro_m,astro_cm,fuente,total_m,total_cm,galibo_entrada_m,galibo_entrada_cm,galibo_salida_m,galibo_salida_cm,residuo_m,residuo_cm
2026-08-08 13:00:00,1016.6261165801726,1.4762050313797004,3.4320566052516597,3.736066626322701,-0.010420519774627216,0.004122654389578041,-0.006297865385049175,-0.010293916266177167,-1.0420519774627217,0.4122654389578041,-0.6297865385049175,-1.0293916266177168,-0.087079887389251,-8.707988738925101,forecast,-0.09737380365542816,-9.737380365542817,1.5803738036554282,158.03738036554282,1.5713738036554281,157.1373803655428,-0.010293916266177167,-1.0293916266177168
2026-08-08 14:00:00,1016.02882195755,1.2093799385189492,3.7222335435112464,3.9137734206430994,-0.004893453984188999,0.004849257893354101,-4.419609083489845e-05,-0.00926894424864294,-0.4893453984188999,0.4849257893354101,-0.004419609083489845,-0.9268944248642941,-0.0685831982139116,-6.858319821391159,forecast,-0.07785214246255454,-7.785214246255453,1.5608521424625545,156.08521424625545,1.5518521424625544,155.18521424625544,-0.00926894424864294,-0.9268944248642941
2026-08-08 15:00:00,1015.635,0.8982391357421875,3.84527587890625,3.9487947692779763,-0.001249222499999916,0.0051751513047143816,0.003925928804714466,-0.0079494569433072,-0.1249222499999916,0.5175151304714382,0.3925928804714466,-0.79494569433072,-0.0563994650309663,-5.63994650309663,forecast,-0.0643489219742735,-6.43489219742735,1.5473489219742735,154.73489219742734,1.5383489219742734,153.83489219742734,-0.0079494569433072,-0.79494569433072
2026-08-08 16:00:00,1015.5113891841224,0.5337242091801889,3.1876614081915022,3.2320344652770103,-0.00010538981527696003,0.0035564148386457006,0.0034510250233687405,-0.006809408746639606,-0.010538981527696003,0.35564148386457006,0.34510250233687406,-0.6809408746639606,-0.0507074700535777,-5.07074700535777,forecast,-0.05751687880021731,-5.751687880021731,1.5405168788002175,154.05168788002175,1.5315168788002174,153.15168788002174,-0.006809408746639606,-0.6809408746639606
2026-08-08 17:00:00,1015.4250001476167,0.08895223862795129,1.9178914470253654,1.9199531513372856,0.0006940111340284719,0.0012874076609005675,0.0019814187949290397,-0.005930325992482742,0.06940111340284719,0.12874076609005675,0.19814187949290396,-0.5930325992482742,-0.0498806632491805,-4.98806632491805,forecast,-0.05581098924166324,-5.581098924166325,1.5388109892416633,153.88109892416634,1.5298109892416631,152.9810989241663,-0.005930325992482742,-0.5930325992482742
2026-08-08 18:00:00,1015.3925,-0.3535308837890625,1.090576171875,1.1464468903766127,0.0009947512499996214,0.00041627473533153536,0.0014110259853311567,-0.005196190794701352,0.09947512499996214,0.04162747353315353,0.1411025985331157,-0.5196190794701352,-0.0524926950110981,-5.24926950110981,forecast,-0.05768888580579945,-5.7688885805799455,1.5406888858057997,154.06888858057997,1.5316888858057993,153.16888858057993,-0.005196190794701352,-0.5196190794701352
2026-08-08 19:00:00,1015.611574074074,-0.8566883029937626,0.907472089974309,1.2479665230160115,-0.0010324506944441485,0.0002882269579288191,-0.0007442237365153294,-0.00475099408888275,-0.10324506944441485,0.02882269579288191,-0.07442237365153294,-0.47509940888827495,-0.0584635987732515,-5.84635987732515,forecast,-0.06321459286213425,-6.321459286213425,1.5462145928621343,154.62145928621342,1.5372145928621341,153.72145928621342,-0.00475099408888275,-0.47509940888827495
2026-08-08 20:00:00,1016.018425925926,-1.3575942328770896,0.7955648520057638,1.5735264646290783,-0.004797254305555811,0.0002215232018114335,-0.004575731103744377,-0.0047334677903689126,-0.47972543055558103,0.02215232018114335,-0.4575731103744377,-0.47334677903689126,-0.0676084236001975,-6.76084236001975,forecast,-0.07234189139056642,-7.2341891390566415,1.5553418913905666,155.53418913905665,1.5463418913905664,154.63418913905664,-0.0047334677903689126,-0.47334677903689126
2026-08-08 21:00:00,1016.2375,-1.584869384765625,0.647308349609375,1.7119635119480157,-0.0068244562499995805,0.0001466528348159045,-0.006677803415183676,-0.004927901352850389,-0.6824456249999581,0.01466528348159045,-0.6677803415183676,-0.4927901352850389,-0.0783729608944742,-7.8372960894474195,forecast,-0.08330086224732458,-8.330086224732458,1.5663008622473247,156.63008622473248,1.5573008622473246,155.73008622473245,-0.004927901352850389,-0.4927901352850389
2026-08-08 22:00:00,1016.2130707325783,-1.5419865360966436,0.3870312125106761,1.5898162274177507,-0.006598400023913583,5.2427605810119454e-05,-0.006545972418103463,-0.0050897084593756955,-0.6598400023913583,0.005242760581011945,-0.6545972418103463,-0.5089708459375696,-0.0884224987408451,-8.84224987408451,forecast,-0.0935122072002208,-9.35122072002208,1.576512207200221,157.65122072002208,1.5675122072002208,156.75122072002208,-0.0050897084593756955,-0.5089708459375696
2026-08-08 23:00:00,1016.1483636873788,-1.4623469599971066,0.047889309891904236,1.4631308955164273,-0.00599963338116003,8.026851006729929e-07,-0.005998830696059357,-0.005180620683044062,-0.599963338116003,8.02685100672993e-05,-0.5998830696059357,-0.5180620683044062,-0.0956977342812951,-9.56977342812951,forecast,-0.10087835496433917,-10.087835496433916,1.5838783549643392,158.38783549643392,1.5748783549643393,157.48783549643392,-0.005180620683044062,-0.5180620683044062
2026-08-09 00:00:00,1016.05625,-1.419464111328125,-0.314422607421875,1.453870674924876,-0.00514725937499979,-3.460155162028968e-05,-0.00518186092662008,-0.0051807447074016634,-0.5147259374999791,-0.003460155162028968,-0.518186092662008,-0.5180744707401663,-0.0992925920731395,-9.92925920731395,forecast,-0.10447333678054116,-10.447333678054116,1.5874733367805414,158.74733367805413,1.578473336780541,157.8473336780541,-0.0051807447074016634,-0.5180744707401663
2026-08-09 01:00:00,1015.7640205718805,-1.4238431113156382,-0.7398734423713296,1.604600235687194,-0.002443114361895753,-0.0001915944487542404,-0.0026347088106499937,-0.004926141117726497,-0.24431143618957532,-0.01915944487542404,-0.2634708810649994,-0.4926141117726497,-0.100109520964906,-10.0109520964906,forecast,-0.10503566208263249,-10.503566208263248,1.5880356620826326,158.80356620826325,1.5790356620826325,157.90356620826324,-0.004926141117726497,-0.4926141117726497
2026-08-09 02:00:00,1015.3276700081624,-1.435936276884749,-1.194129089014666,1.8675805933090628,0.0015946555794693633,-0.0004990804984308487,0.0010955750810385145,-0.004323969497849996,0.15946555794693631,-0.049908049843084876,0.10955750810385145,-0.4323969497849996,-0.100598096017436,-10.0598096017436,forecast,-0.10492206551528599,-10.492206551528598,1.5879220655152861,158.7922065515286,1.578922065515286,157.8922065515286,-0.004323969497849996,-0.4323969497849996
2026-08-09 03:00:00,1015.103125,-1.4541778564453125,-1.510040283203125,2.096390921338875,0.003672482812500211,-0.0007980775799136608,0.0028744052325865503,-0.0036041320248063414,0.3672482812500211,-0.07980775799136608,0.28744052325865505,-0.36041320248063413,-0.10345342397008,-10.345342397008,forecast,-0.10705755599488635,-10.705755599488635,1.5900575559948864,159.00575559948865,1.5810575559948863,158.10575559948862,-0.0036041320248063414,-0.36041320248063413
